"id","district","sch","exp_group","poverty_school","s3","s3npr","f3","f3npr","grade_fall2013","many13","s13_10","s13_11","s13_12","often13","family13","s13_15","s13_16","ethnicity_new","frl_new","lep_new","gender_new","s4","s4npr","tri14","teach","f4","many14","often14","s14_6","s14_7","s14_8","s14_9","s14_10","s14_11","family14","s14_13","s14_14","s14_15"
"WA-1973","WA","920560 ","READS         ",2,174,62,168,36,3,11,5,6,6,4,4,4,1,"Hispanic",1,0,1,205,76,3,"800282",207,10,5,5,4,3,5,5,5,4,1,1,3
"WA-1976","WA","920403B","Control (Math)",1,179,39,192,50,4,3,1,6,3,4,3,2,4,"Black",1,0,1,187,32,5,"800139",198,5,3,6,3,3,3,4,5,2,4,1,3
"WA-1978","WA","920560 ","Control (Math)",2,184,77,184,65,3,6,1,6,1,4,1,1,1,"Hispanic",1,1,1,198,69,2,"800429",203,3,3,6,NA,2,3,2,2,2,4,1,1
"WA-1979","WA","920560 ","READS         ",2,179,70,180,58,3,4,4,3,2,4,3,4,4,"Black",0,0,1,183,46,4,"800282",207,6,4,4,4,3,3,4,3,4,3,3,4
"WA-1980","WA","920560 ","READS         ",2,151,15,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Black",1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1981","WA","920560 ","Control (Math)",2,151,15,161,24,3,6,5,1,6,4,3,4,2,"Hispanic",1,1,1,173,29,6,"800399",165,6,4,5,3,2,5,4,3,3,4,1,1
"WA-1983","WA","920560 ","READS         ",2,212,96,197,82,3,NA,NA,NA,NA,NA,NA,NA,NA,"White",0,0,2,219,88,0,"800282",230,6,3,1,3,2,3,4,5,2,1,1,1
"WA-1985","WA","920560 ","READS         ",2,165,43,163,28,3,10,5,6,4,3,2,4,4,"Hispanic",1,1,1,183,46,8,"800282",195,11,3,5,3,3,4,3,3,4,4,3,3
"WA-1988","WA","920560 ","Control (Math)",2,184,77,157,18,3,9,1,6,2,3,2,2,3,"White",1,0,1,173,29,0,"800399",185,9,3,4,3,3,3,3,2,3,1,2,4
"WA-1991","WA","920560 ","Control (Math)",2,184,77,176,50,3,6,2,3,2,3,1,4,1,"Black",1,0,2,NA,NA,0,"800399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WA-1992","WA","920560 ","Control (Math)",2,202,92,197,82,3,8,1,2,1,2,1,3,1,"White",1,0,1,219,88,5,"800399",238,6,4,4,4,4,3,3,5,3,2,1,3
